,ids1,ids2,images1,images2,result,tiers,votes1,votes2
177,2334,2104,https://img.animebracket.com/1su.jpg,https://img.animebracket.com/1mg.jpg,1,1,1802,1459
178,2169,2176,https://img.animebracket.com/1o9.jpg,https://img.animebracket.com/1og.jpg,1,1,2575,778
179,2068,2281,https://img.animebracket.com/1lg.jpg,https://img.animebracket.com/1rd.jpg,1,1,2391,1246
180,2000,2259,https://img.animebracket.com/1jk.jpg,https://img.animebracket.com/1qr.jpg,1,1,2601,1153
181,2079,2041,https://img.animebracket.com/1lr.jpg,https://img.animebracket.com/1kp.jpg,1,1,1619,1580
182,2082,1993,https://img.animebracket.com/1lu.jpg,https://img.animebracket.com/1jd.jpg,1,1,2689,817
183,2013,2156,https://img.animebracket.com/1jx.jpg,https://img.animebracket.com/1nw.jpg,1,1,2005,1176
184,2087,2440,https://img.animebracket.com/1lz.jpg,https://img.animebracket.com/1vs.jpg,1,1,3333,734
185,1984,2344,https://img.animebracket.com/1j4.jpg,https://img.animebracket.com/1t4.jpg,1,1,1940,1196
186,2115,2306,https://img.animebracket.com/1mr.jpg,https://img.animebracket.com/1s2.jpg,1,1,2503,772
187,2170,1992,https://img.animebracket.com/1oa.jpg,https://img.animebracket.com/1jc.jpg,1,1,2159,1211
188,2116,2337,https://img.animebracket.com/1ms.jpg,https://img.animebracket.com/1sx.jpg,1,1,3090,768
189,1969,1977,https://img.animebracket.com/1ip.jpg,https://img.animebracket.com/1ix.jpg,1,1,1758,1304
190,1817,2028,https://img.animebracket.com/1eh.jpg,https://img.animebracket.com/1kc.jpg,1,1,2837,660
191,1846,2425,https://img.animebracket.com/1fa.jpg,https://img.animebracket.com/1vd.jpg,1,1,2170,1387
192,1826,1801,https://img.animebracket.com/1eq.jpg,https://img.animebracket.com/1e1.jpg,1,1,3885,351
193,2391,2273,https://img.animebracket.com/1uf.jpg,https://img.animebracket.com/1r5.jpg,0,1,1495,1893
194,1965,2202,https://img.animebracket.com/1il.jpg,https://img.animebracket.com/1p6.jpg,1,1,2399,1159
195,1883,2033,https://img.animebracket.com/1gb.jpg,https://img.animebracket.com/1kh.jpg,1,1,2573,985
196,1829,2192,https://img.animebracket.com/1et.jpg,https://img.animebracket.com/1ow.jpg,1,1,2757,686
197,2135,2126,https://img.animebracket.com/1nb.jpg,https://img.animebracket.com/1n2.jpg,1,1,1768,1492
198,1842,1872,https://img.animebracket.com/1f6.jpg,https://img.animebracket.com/1g0.jpg,1,1,2879,736
199,2342,1922,https://img.animebracket.com/1t2.jpg,https://img.animebracket.com/1he.jpg,1,1,1767,1398
200,1779,2395,https://img.animebracket.com/1df.jpg,https://img.animebracket.com/1uj.jpg,1,1,3248,519
201,2465,2304,https://img.animebracket.com/1wh.jpg,https://img.animebracket.com/1s0.jpg,1,1,2218,1149
202,2111,2279,https://img.animebracket.com/1mn.jpg,https://img.animebracket.com/1rb.jpg,1,1,2595,834
203,2016,2293,https://img.animebracket.com/1k0.jpg,https://img.animebracket.com/1rp.jpg,1,1,2000,1067
204,1834,1915,https://img.animebracket.com/1ey.jpg,https://img.animebracket.com/1h7.jpg,1,1,2846,714
205,2168,2105,https://img.animebracket.com/1o8.jpg,https://img.animebracket.com/1mh.jpg,1,1,1759,1384
206,2112,2287,https://img.animebracket.com/1mo.jpg,https://img.animebracket.com/1rj.jpg,1,1,2718,805
207,2042,2151,https://img.animebracket.com/1kq.jpg,https://img.animebracket.com/1nr.jpg,1,1,2472,1025
208,1769,2462,https://img.animebracket.com/1d5.jpg,https://img.animebracket.com/1we.jpg,1,1,3636,307
209,2434,1795,https://img.animebracket.com/1vm.jpg,https://img.animebracket.com/1dv.jpg,1,1,1552,1487
210,1860,2010,https://img.animebracket.com/1fo.jpg,https://img.animebracket.com/1ju.jpg,1,1,2174,871
211,2080,1920,https://img.animebracket.com/1ls.jpg,https://img.animebracket.com/1hc.jpg,1,1,2323,709
212,1976,2097,https://img.animebracket.com/1iw.jpg,https://img.animebracket.com/1m9.jpg,1,1,2758,881
213,2107,1931,https://img.animebracket.com/1mj.jpg,https://img.animebracket.com/1hn.jpg,1,1,1686,1447
214,1780,2278,https://img.animebracket.com/1dg.jpg,https://img.animebracket.com/1ra.jpg,1,1,2681,732
215,1786,2420,https://img.animebracket.com/1dm.jpg,https://img.animebracket.com/1v8.jpg,1,1,2235,843
216,1888,2275,https://img.animebracket.com/1gg.jpg,https://img.animebracket.com/1r7.jpg,1,1,3371,472
217,2392,2263,https://img.animebracket.com/1ug.jpg,https://img.animebracket.com/1qv.jpg,1,1,1865,1378
218,1861,1852,https://img.animebracket.com/1fp.jpg,https://img.animebracket.com/1fg.jpg,1,1,2462,753
219,2091,2110,https://img.animebracket.com/1m3.jpg,https://img.animebracket.com/1mm.jpg,1,1,2375,977
220,1882,2181,https://img.animebracket.com/1ga.jpg,https://img.animebracket.com/1ol.jpg,1,1,3186,449
221,2270,2397,https://img.animebracket.com/1r2.jpg,https://img.animebracket.com/1ul.jpg,1,1,2091,1282
222,1924,1996,https://img.animebracket.com/1hg.jpg,https://img.animebracket.com/1jg.jpg,1,1,2499,841
223,2065,1907,https://img.animebracket.com/1ld.jpg,https://img.animebracket.com/1gz.jpg,1,1,1800,1513
224,1837,2409,https://img.animebracket.com/1f1.jpg,https://img.animebracket.com/1ux.jpg,1,1,3189,570
225,2092,2078,https://img.animebracket.com/1m4.jpg,https://img.animebracket.com/1lq.jpg,0,1,1366,1913
226,2401,2235,https://img.animebracket.com/1up.jpg,https://img.animebracket.com/1q3.jpg,1,1,2335,1033
